number,value,datetime_start,datetime_complete,duration,params_access_type,params_correlation_threshold,params_cv_threshold,params_lightgbm_learning_rate,params_lightgbm_max_depth,params_lightgbm_n_estimators,params_lightgbm_subsample,params_lr_C,params_lr_class_weight,params_lr_penalty,params_max_features,params_missing_threshold,params_model_family,params_prefix_end,params_rf_class_weight,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_n_estimators,params_selection_method,params_threshold,params_window_size,params_window_start,params_xgboost_learning_rate,params_xgboost_max_depth,params_xgboost_n_estimators,params_xgboost_subsample,user_attrs_access_type,user_attrs_detection_metric,user_attrs_feasible,user_attrs_latest_index,user_attrs_model_family,user_attrs_n_features_selected,user_attrs_observation_fraction,state
0,0.06698966216912677,2026-06-16 20:00:31.462866,2026-06-16 20:00:32.464498,0 days 00:00:01.001632,window,0.8581317057035479,0.0029375384576328283,,,,,0.008260808399079604,,l2,,0.2624074561769746,logistic_regression,,,,,,,none,0.49336378683067983,157.0,431.0,,,,,window,0.16665067911827933,True,588,logistic_regression,86.8,0.9966101694915255,COMPLETE
1,0.08603499457107315,2026-06-16 20:00:32.464498,2026-06-16 20:00:36.617601,0 days 00:00:04.153103,window,0.9219928213779056,0.00397211072738191,,,,,,,,22.0,0.5140703845572054,random_forest,,balanced,23.0,log2,9.0,168.0,mutual_info,0.5333926046396458,121.0,216.0,,,,,window,0.14315363863886976,True,337,random_forest,22.0,0.5711864406779661,COMPLETE
2,0.09093637326284171,2026-06-16 20:00:36.618602,2026-06-16 20:00:42.620491,0 days 00:00:06.001889,window,0.9815298518189864,0.2115429079726121,,,,,,,,47.0,0.5878338511058234,xgboost,,,,,,,mutual_info,0.12133013773006249,54.0,322.0,0.11294923622078903,5.0,350.0,0.7713480415791243,window,0.15466518682216374,True,376,xgboost,36.2,0.6372881355932203,COMPLETE
3,0.05499051370801433,2026-06-16 20:00:42.637534,2026-06-16 20:00:50.002490,0 days 00:00:07.364956,prefix,0.8507730963973044,0.0039459088110999985,0.03499331111708852,2.0,331.0,0.6554911608578311,,,,,0.508897907718663,lightgbm,583.0,,,,,,none,0.26689482440113016,,,,,,,prefix,0.15380407303004823,True,583,lightgbm,228.6,0.988135593220339,COMPLETE
4,0.08422960988489965,2026-06-16 20:00:50.002490,2026-06-16 20:00:57.468150,0 days 00:00:07.465660,prefix,0.9498542702112193,0.0022844556850020537,,,,,1.5207297997231806,,l2,109.0,0.3888859700647797,logistic_regression,524.0,,,,,,mutual_info,0.33420250919814753,,,,,,,prefix,0.17304316920693355,True,524,logistic_regression,109.0,0.888135593220339,COMPLETE
5,0.11357693506064938,2026-06-16 20:00:57.469151,2026-06-16 20:00:59.203575,0 days 00:00:01.734424,prefix,0.9801576713279603,0.0030455368715396787,0.0061338502201741816,4.0,177.0,0.7135538943131281,,,,45.0,0.31590058116550723,lightgbm,46.0,,,,,,mutual_info,0.6562316650787696,,,,,,,prefix,0.1213735452301409,True,46,lightgbm,41.2,0.07796610169491526,COMPLETE
6,0.1410046756450172,2026-06-16 20:00:59.203575,2026-06-16 20:01:09.183891,0 days 00:00:09.980316,prefix,0.8667811514267155,0.004637921903458032,,,,,,,,144.0,0.3669644012595116,random_forest,302.0,,11.0,log2,6.0,448.0,univariate,0.7275300499136564,,,,,,,prefix,0.1921911163229833,True,302,random_forest,144.0,0.511864406779661,COMPLETE
7,0.14441222694074476,2026-06-16 20:01:09.183891,2026-06-16 20:01:25.532519,0 days 00:00:16.348628,prefix,0.944098976636823,0.005323114580928889,,,,,,,,,0.5942601816442403,random_forest,289.0,,11.0,log2,4.0,685.0,none,0.188931662406371,,,,,,,prefix,0.1933952777882024,True,289,random_forest,196.8,0.48983050847457626,COMPLETE
8,0.11068958595114249,2026-06-16 20:01:25.533475,2026-06-16 20:01:31.107690,0 days 00:00:05.574215,prefix,0.8692529321804391,0.6459367085984854,,,,,,,,59.0,0.354694138520215,random_forest,408.0,balanced_subsample,4.0,sqrt,18.0,269.0,mutual_info,0.718717105362536,,,,,,,prefix,0.17984212832402385,True,408,random_forest,54.4,0.6915254237288135,COMPLETE
9,0.09248484534592429,2026-06-16 20:01:31.107690,2026-06-16 20:01:58.355320,0 days 00:00:27.247630,prefix,0.9757975863937911,0.0030541203184433867,,,,,,,,10.0,0.23365598599801954,xgboost,379.0,,,,,,model_importance,0.5997282100432391,,,0.003593703753553803,4.0,599.0,0.6626998490796339,prefix,0.1567221334815175,True,379,xgboost,10.0,0.6423728813559322,COMPLETE
10,0.1303629793079416,2026-06-16 20:01:58.355756,2026-06-16 20:02:18.151031,0 days 00:00:19.795275,window,0.9032410144352535,0.03218056412620648,,,,,,,,,0.4685075459270867,random_forest,,,32.0,log2,1.0,778.0,none,0.0604880869548341,249.0,3.0,,,,,window,0.17307484371472126,True,252,random_forest,142.4,0.4271186440677966,COMPLETE
11,0.16380469908141423,2026-06-16 20:02:18.151031,2026-06-16 20:02:27.604855,0 days 00:00:09.453824,prefix,0.897861868240016,0.022710278596849112,,,,,,,,184.0,0.4428737096132902,random_forest,195.0,,10.0,log2,5.0,556.0,univariate,0.796853060080474,,,,,,,prefix,0.19685554653904136,True,195,random_forest,116.6,0.3305084745762712,COMPLETE
12,0.16212168327996973,2026-06-16 20:02:27.605853,2026-06-16 20:02:40.222519,0 days 00:00:12.616666,prefix,0.9155372416233208,0.022428002239324046,,,,,,,,199.0,0.5997449754566203,random_forest,141.0,,11.0,log2,3.0,720.0,univariate,0.20527753245729996,,,,,,,prefix,0.1860199883647155,True,141,random_forest,86.2,0.23898305084745763,COMPLETE
13,0.15333801787745638,2026-06-16 20:02:40.222519,2026-06-16 20:02:50.607716,0 days 00:00:10.385197,prefix,0.9072795239739069,0.02882190289717445,,,,,,,,191.0,0.45094195308965734,random_forest,108.0,,14.0,log2,1.0,570.0,univariate,0.4140777311331723,,,,,,,prefix,0.17164310262321908,True,108,random_forest,62.2,0.18305084745762712,COMPLETE
14,0.15544919804222718,2026-06-16 20:02:50.607716,2026-06-16 20:02:56.245165,0 days 00:00:05.637449,prefix,0.8855555408438234,0.023531088209755302,,,,,,,,184.0,0.5362148766913247,random_forest,160.0,,2.0,sqrt,12.0,527.0,univariate,0.23520814156148753,,,,,,,prefix,0.18256784211002378,True,160,random_forest,95.2,0.2711864406779661,COMPLETE
15,0.17046165580799627,2026-06-16 20:02:56.245165,2026-06-16 20:03:06.934087,0 days 00:00:10.688922,prefix,0.9291075532187794,0.09270751691583777,,,,,,,,148.0,0.4410950175168563,random_forest,192.0,balanced_subsample,18.0,log2,7.0,662.0,univariate,0.386102336922933,,,,,,,prefix,0.2030040286893522,True,192,random_forest,95.0,0.3254237288135593,COMPLETE
16,0.10504115413330582,2026-06-16 20:03:06.934087,2026-06-16 20:03:13.081883,0 days 00:00:06.147796,prefix,0.934884735152825,0.10934461845973416,,,,,95.74738509612212,balanced,l1,149.0,0.444526391754649,logistic_regression,233.0,,,,,,univariate,0.7837674992580241,,,,,,,prefix,0.14453267955703464,True,233,logistic_regression,122.0,0.3949152542372881,COMPLETE
17,0.11426943768899879,2026-06-16 20:03:13.081883,2026-06-16 20:03:15.245984,0 days 00:00:02.164101,prefix,0.8893865056927773,0.07754658782750988,0.24914472293655507,12.0,780.0,0.9916889455562702,,,,150.0,0.4185836995876216,lightgbm,7.0,,,,,,model_importance,0.4283154575108258,,,,,,,prefix,0.11545587836696489,True,7,lightgbm,1.0,0.011864406779661017,COMPLETE
18,0.01108353113303015,2026-06-16 20:03:15.257461,2026-06-16 20:03:15.621311,0 days 00:00:00.363850,window,0.9575163390161092,0.012068021757007798,,,,,,,,113.0,0.3123309056025083,xgboost,,,,,,,univariate,0.3374941079205195,254.0,589.0,0.27191715113596837,12.0,129.0,0.9783380927298911,window,0.11108353113303016,True,590,xgboost,1.0,1.0,COMPLETE
19,0.1719902478261216,2026-06-16 20:03:15.622312,2026-06-16 20:03:23.050270,0 days 00:00:07.427958,prefix,0.8929661347461545,0.0011711785677498204,,,,,,,,168.0,0.4832970978891715,random_forest,224.0,balanced_subsample,20.0,log2,9.0,388.0,univariate,0.5552930824762508,,,,,,,prefix,0.20995634952103687,True,224,random_forest,168.0,0.37966101694915255,COMPLETE
20,0.1504554951173389,2026-06-16 20:03:23.050270,2026-06-16 20:03:31.687679,0 days 00:00:08.637409,prefix,0.9300619806048951,0.0010059103182866469,,,,,,,,131.0,0.48398455702135884,random_forest,327.0,balanced_subsample,22.0,sqrt,11.0,346.0,univariate,0.5033983631712633,,,,,,,prefix,0.20587922393089825,True,327,random_forest,131.0,0.5542372881355933,COMPLETE
21,0.17767615096476985,2026-06-16 20:03:31.687679,2026-06-16 20:03:41.141870,0 days 00:00:09.454191,prefix,0.8915106274938883,0.4088698914950214,,,,,,,,168.0,0.4234915202812796,random_forest,212.0,balanced_subsample,19.0,log2,8.0,598.0,univariate,0.5933608388457979,,,,,,,prefix,0.21360835435460035,True,212,random_forest,63.2,0.3593220338983051,COMPLETE
22,0.12064486910842218,2026-06-16 20:03:41.142870,2026-06-16 20:03:50.173872,0 days 00:00:09.031002,prefix,0.8808243896035249,0.9629473818188651,,,,,,,,168.0,0.4057397639716918,random_forest,219.0,balanced_subsample,20.0,log2,8.0,624.0,univariate,0.6064374325813123,,,,,,,prefix,0.15776351317621878,True,219,random_forest,39.4,0.3711864406779661,COMPLETE
23,0.1686202703518354,2026-06-16 20:03:50.173872,2026-06-16 20:03:56.250270,0 days 00:00:06.076398,prefix,0.896917801367649,0.19722445287112567,,,,,,,,166.0,0.543432779832316,random_forest,88.0,balanced_subsample,27.0,log2,14.0,447.0,univariate,0.570529902064211,,,,,,,prefix,0.18353552458912356,True,88,random_forest,25.6,0.14915254237288136,COMPLETE
24,0.1263970369889734,2026-06-16 20:03:56.250270,2026-06-16 20:04:07.886566,0 days 00:00:11.636296,prefix,0.918207026475647,0.3601179482407563,,,,,,,,86.0,0.48253930409522583,random_forest,255.0,balanced_subsample,17.0,log2,8.0,356.0,model_importance,0.4557413911189172,,,,,,,prefix,0.16961737597202425,True,255,random_forest,37.2,0.4322033898305085,COMPLETE
25,0.19640845401981544,2026-06-16 20:04:07.886566,2026-06-16 20:04:17.875406,0 days 00:00:09.988840,prefix,0.8766220911339274,0.06681138627511607,,,,,,,,130.0,0.4276636658775521,random_forest,158.0,balanced_subsample,17.0,log2,14.0,640.0,univariate,0.3360178231878631,,,,,,,prefix,0.22318811503676458,True,158,random_forest,74.4,0.2677966101694915,COMPLETE
26,0.09925049204102902,2026-06-16 20:04:17.876432,2026-06-16 20:04:20.361072,0 days 00:00:02.484640,window,0.8753155072938275,0.052833425491855,,,,,,,,170.0,0.3377726246315265,xgboost,,,,,,,univariate,0.6303781131732829,12.0,43.0,0.001228025963015695,11.0,747.0,0.5134033651672897,window,0.10857252593933411,True,55,xgboost,3.0,0.09322033898305085,COMPLETE
27,0.04238591145546211,2026-06-16 20:04:20.361072,2026-06-16 20:04:21.124544,0 days 00:00:00.763472,prefix,0.8872884588142192,0.01063802923589029,,,,,0.0030055935818762377,balanced,l1,120.0,0.38566442629138786,logistic_regression,140.0,,,,,,univariate,0.3414068955353041,,,,,,,prefix,0.06611472501478415,True,140,logistic_regression,101.2,0.23728813559322035,COMPLETE
28,0.07971344481153139,2026-06-16 20:04:21.124544,2026-06-16 20:04:38.972228,0 days 00:00:17.847684,prefix,0.8641384241910329,0.33956490822644736,0.00127361296200207,10.0,713.0,0.5263391134211155,,,,96.0,0.5527948243961854,lightgbm,404.0,,,,,,univariate,0.6714778295758135,,,,,,,prefix,0.14818802108271784,True,404,lightgbm,95.8,0.6847457627118644,COMPLETE
29,0.00825789049841541,2026-06-16 20:04:38.972228,2026-06-16 20:04:39.152918,0 days 00:00:00.180690,window,0.8542748586046283,0.16161107400727148,,,,,0.6008083775244606,,l1,131.0,0.2750780940601064,logistic_regression,,,,,,,model_importance,0.4852693050712069,168.0,569.0,,,,,window,0.10825789049841542,True,590,logistic_regression,6.2,1.0,COMPLETE
30,0.19196669835079583,2026-06-16 20:04:39.152918,2026-06-16 20:04:47.397307,0 days 00:00:08.244389,prefix,0.8763758922484381,0.0010100666579199852,,,,,,,,,0.42150734787937366,random_forest,82.0,balanced_subsample,25.0,log2,16.0,470.0,none,0.3056431675871646,,,,,,,prefix,0.2058650034355416,True,82,random_forest,67.4,0.13898305084745763,COMPLETE
31,0.1753020493077063,2026-06-16 20:04:47.398276,2026-06-16 20:04:54.884499,0 days 00:00:07.486223,prefix,0.8773150653690795,0.001161208613914233,,,,,,,,,0.42722862978377146,random_forest,76.0,balanced_subsample,26.0,log2,16.0,494.0,none,0.29384396093817816,,,,,,,prefix,0.18818340523990967,True,76,random_forest,61.4,0.1288135593220339,COMPLETE
32,0.17556279608354722,2026-06-16 20:04:54.885499,2026-06-16 20:05:02.496214,0 days 00:00:07.610715,prefix,0.8764078932452551,0.0017205394504103107,,,,,,,,,0.41208002440308317,random_forest,69.0,balanced_subsample,29.0,log2,16.0,517.0,none,0.28048324159401106,,,,,,,prefix,0.18725771133778452,True,69,random_forest,58.6,0.11694915254237288,COMPLETE
33,0.09250446193726636,2026-06-16 20:05:02.497211,2026-06-16 20:05:08.099024,0 days 00:00:05.601813,prefix,0.8723437211950321,0.007593669688192785,,,,,,,,,0.40962907246019664,random_forest,13.0,balanced,31.0,log2,20.0,598.0,none,0.1520727609437554,,,,,,,prefix,0.09470785176777483,True,13,random_forest,12.0,0.022033898305084745,COMPLETE
34,0.06172320496886443,2026-06-16 20:05:08.099024,2026-06-16 20:05:15.347526,0 days 00:00:07.248502,window,0.8614793526825519,0.0015566459841755021,,,,,,,,,0.37331985073336427,random_forest,,balanced_subsample,27.0,log2,14.0,500.0,none,0.2750610728878502,94.0,172.0,,,,,window,0.1068079507315763,True,266,random_forest,47.2,0.45084745762711864,COMPLETE
35,0.18622879408793172,2026-06-16 20:05:15.347526,2026-06-16 20:05:24.200854,0 days 00:00:08.853328,prefix,0.8579412511937988,0.0019031788390620635,,,,,,,,,0.5115752867882787,random_forest,65.0,balanced_subsample,25.0,log2,16.0,625.0,none,0.3671953690719922,,,,,,,prefix,0.1972457432404741,True,65,random_forest,54.0,0.11016949152542373,COMPLETE
36,0.17782598690466458,2026-06-16 20:05:24.200854,2026-06-16 20:05:25.226996,0 days 00:00:01.026142,prefix,0.8583440551247685,0.04535395398383752,,,,,,,,,0.5125504035019246,xgboost,131.0,,,,,,none,0.38659718836805523,,,0.022944235595774513,2.0,100.0,0.9869180352000324,prefix,0.20002937673517307,True,131,xgboost,64.4,0.22203389830508474,COMPLETE
37,0.19402303477647387,2026-06-16 20:05:25.226996,2026-06-16 20:05:26.165834,0 days 00:00:00.938838,prefix,0.8514618163780328,0.05492464687007157,,,,,,,,,0.5098034262264968,xgboost,123.0,,,,,,none,0.37863671136122357,,,0.018623772569370315,2.0,108.0,0.9614564677636811,prefix,0.21487049240359252,True,123,xgboost,55.6,0.20847457627118643,COMPLETE
38,0.05080573658603507,2026-06-16 20:05:26.165834,2026-06-16 20:05:42.782058,0 days 00:00:16.616224,window,0.8539925139589659,0.0020884653550701858,,,,,,,,,0.5616867353405565,xgboost,,,,,,,none,0.3487527979930733,194.0,422.0,0.019550006454758864,8.0,346.0,0.8419371799604662,window,0.15080573658603508,True,590,xgboost,94.2,1.0,COMPLETE
39,0.10582595511785674,2026-06-16 20:05:42.782058,2026-06-16 20:05:44.485440,0 days 00:00:01.703382,prefix,0.8513198287380985,0.014717261729806691,,,,,,,,,0.5695852078445998,xgboost,56.0,,,,,,none,0.3107399215502373,,,0.0063464906328357575,2.0,473.0,0.8710912088398626,prefix,0.11531748054158555,True,56,xgboost,37.0,0.09491525423728814,COMPLETE
40,0.11863170658834672,2026-06-16 20:05:44.485440,2026-06-16 20:05:47.954491,0 days 00:00:03.469051,prefix,0.8662060568381253,0.06088094810554127,0.09671206678584485,7.0,518.0,0.9910627449847547,,,,,0.5063184466205127,lightgbm,109.0,,,,,,none,0.24828196557699983,,,,,,,prefix,0.13710628285953316,True,109,lightgbm,50.6,0.1847457627118644,COMPLETE
41,0.18507323853439162,2026-06-16 20:05:47.954491,2026-06-16 20:05:49.065602,0 days 00:00:01.111111,prefix,0.856123269764561,0.045143626439306,,,,,,,,,0.5166000721512376,xgboost,140.0,,,,,,none,0.3860195044576563,,,0.031343818910959914,2.0,103.0,0.9948098412249815,prefix,0.20880205209371366,True,140,xgboost,70.0,0.23728813559322035,COMPLETE
42,0.1361428229855041,2026-06-16 20:05:49.081099,2026-06-16 20:05:55.182957,0 days 00:00:06.101858,prefix,0.8598426695530984,0.038700649526844925,,,,,,,,,0.5250385063071628,xgboost,168.0,,,,,,none,0.37385759080162256,,,0.04616006775377079,5.0,228.0,0.997818878296009,prefix,0.16461739925669053,True,168,xgboost,89.8,0.2847457627118644,COMPLETE
43,0.0961463107128868,2026-06-16 20:05:55.183984,2026-06-16 20:05:55.650156,0 days 00:00:00.466172,prefix,0.8694988864267491,0.1263319274059722,,,,,,,,,0.4881003051524962,xgboost,27.0,,,,,,none,0.43856173293593304,,,0.04823540774465669,2.0,234.0,0.9013512227302978,prefix,0.10072258189932748,True,27,xgboost,8.8,0.04576271186440678,COMPLETE
44,0.11161969518916631,2026-06-16 20:05:55.651221,2026-06-16 20:06:10.850926,0 days 00:00:15.199705,prefix,0.8511450926663677,0.06235964665701296,,,,,,,,93.0,0.46199692645592605,xgboost,536.0,,,,,,mutual_info,0.477323255952825,,,0.009214045498660546,8.0,225.0,0.6929770191608489,prefix,0.20246715281628497,True,536,xgboost,93.0,0.9084745762711864,COMPLETE
45,0.140529007344526,2026-06-16 20:06:10.850926,2026-06-16 20:06:13.723043,0 days 00:00:02.872117,prefix,0.860087282147266,0.0061850664927405475,,,,,,,,,0.5791828763965449,xgboost,109.0,,,,,,none,0.22017462466416163,,,0.05226437429411138,4.0,129.0,0.9152356785046025,prefix,0.15900358361571246,True,109,xgboost,84.4,0.1847457627118644,COMPLETE
46,0.1351951766723327,2026-06-16 20:06:13.723043,2026-06-16 20:06:18.576223,0 days 00:00:04.853180,prefix,0.8832720331932404,0.003444932120976922,,,,,,,,,0.5304076056112131,xgboost,41.0,,,,,,none,0.15805003841556992,,,0.01093517000458884,6.0,326.0,0.8015240823591987,prefix,0.14214432921470557,True,41,xgboost,36.8,0.06949152542372881,COMPLETE
47,0.1384188186525693,2026-06-16 20:06:18.577208,2026-06-16 20:06:21.338540,0 days 00:00:02.761332,prefix,0.8680340603395051,0.01781487124887478,,,,,56.44166261823515,balanced,l2,66.0,0.4978868585308476,logistic_regression,165.0,,,,,,mutual_info,0.52080935943696,,,,,,,prefix,0.16638492034748456,True,165,logistic_regression,66.0,0.2796610169491525,COMPLETE
48,0.17116823450763222,2026-06-16 20:06:21.338540,2026-06-16 20:06:25.383956,0 days 00:00:04.045416,prefix,0.9056279900598714,0.03520031112912596,,,,,,,,,0.5195734831919276,xgboost,87.0,,,,,,none,0.05792980210123061,,,0.0026540567021635475,3.0,525.0,0.9296053530416539,prefix,0.1859139972194966,True,87,xgboost,45.8,0.14745762711864407,COMPLETE
49,0.09705764684028645,2026-06-16 20:06:25.384953,2026-06-16 20:06:30.552171,0 days 00:00:05.167218,prefix,0.8650732601473314,0.08904574292577866,0.0010090150399099872,7.0,126.0,0.8598031013669569,,,,,0.5012038219288858,lightgbm,267.0,,,,,,none,0.40491174819071163,,,,,,,prefix,0.14231188412842205,True,267,lightgbm,125.4,0.45254237288135596,COMPLETE
50,0.08736413133740481,2026-06-16 20:06:30.553171,2026-06-16 20:06:38.189592,0 days 00:00:07.636421,window,0.8570295047343915,0.002518564377221609,,,,,,,,,0.4644887299344807,random_forest,,balanced,24.0,sqrt,14.0,767.0,none,0.3168503994834092,14.0,134.0,,,,,window,0.11244887710011667,True,148,random_forest,13.0,0.25084745762711863,COMPLETE
51,0.18372444114536973,2026-06-16 20:06:38.189592,2026-06-16 20:06:39.282011,0 days 00:00:01.092419,prefix,0.858002790677517,0.045338094413592905,,,,,,,,,0.5142449733560602,xgboost,129.0,,,,,,none,0.3707332791294527,,,0.02328028025028653,2.0,110.0,0.9966775266728223,prefix,0.20558884792503074,True,129,xgboost,62.4,0.21864406779661016,COMPLETE
52,0.17168786199837033,2026-06-16 20:06:39.282011,2026-06-16 20:06:40.988507,0 days 00:00:01.706496,prefix,0.8508866727597948,0.0685377965135169,,,,,,,,,0.5374095385442006,xgboost,120.0,,,,,,none,0.3771924916893993,,,0.027830993327468984,3.0,188.0,0.9431551599272224,prefix,0.1920268450492178,True,120,xgboost,51.4,0.2033898305084746,COMPLETE
53,0.1205132989552188,2026-06-16 20:06:40.989505,2026-06-16 20:06:43.163443,0 days 00:00:02.173938,prefix,0.8732779904115188,0.04475985629881208,,,,,,,,,0.21135822242903748,xgboost,182.0,,,,,,none,0.35589283193425914,,,0.11840734712216845,3.0,110.0,0.9925513606122087,prefix,0.15136075658233744,True,182,xgboost,98.2,0.30847457627118646,COMPLETE
54,0.10928565908595558,2026-06-16 20:06:43.163443,2026-06-16 20:06:44.184068,0 days 00:00:01.020625,prefix,0.8809822727514742,0.025730020669332058,,,,,,,,,0.46965847478359324,xgboost,59.0,,,,,,none,0.4140531004561402,,,0.010713367986992692,2.0,283.0,0.8365299654587798,prefix,0.11928565908595559,True,59,xgboost,29.2,0.1,COMPLETE
55,0.11939804332838228,2026-06-16 20:06:44.184068,2026-06-16 20:06:48.321890,0 days 00:00:04.137822,prefix,0.967177719773568,0.13359481132997425,,,,,,,,76.0,0.550337941110203,xgboost,158.0,,,,,,mutual_info,0.4568043483462103,,,0.031083786378183948,4.0,172.0,0.9285387049814152,prefix,0.14617770434533142,True,158,xgboost,68.2,0.2677966101694915,COMPLETE
56,0.19411977418095755,2026-06-16 20:06:48.322903,2026-06-16 20:06:59.782086,0 days 00:00:11.459183,prefix,0.8633679358486841,0.018802185857778642,,,,,,,,,0.45578711613278866,random_forest,103.0,balanced_subsample,15.0,sqrt,17.0,665.0,none,0.2535372752614669,,,,,,,prefix,0.21157740129960162,True,103,random_forest,62.8,0.17457627118644067,COMPLETE
57,0.17166055144680906,2026-06-16 20:06:59.782639,2026-06-16 20:07:22.267383,0 days 00:00:22.484744,prefix,0.8710509992183767,0.008805805721573263,,,,,,,,36.0,0.43466807184746487,random_forest,94.0,balanced_subsample,17.0,sqrt,17.0,709.0,model_importance,0.24984760870378975,,,,,,,prefix,0.18759275483663956,True,94,random_forest,21.8,0.15932203389830507,COMPLETE
58,0.15639173354869457,2026-06-16 20:07:22.267383,2026-06-16 20:07:32.364133,0 days 00:00:10.096750,prefix,0.8634050799604261,0.0016155332706586627,,,,,,,,,0.38568188103946643,random_forest,42.0,balanced_subsample,14.0,sqrt,19.0,654.0,none,0.1840887189335041,,,,,,,prefix,0.16351037761649118,True,42,random_forest,37.6,0.0711864406779661,COMPLETE
