sensor,rf_rank,xgb_rank,rf_composite_score,xgb_composite_score,rf_mean_abs_shap,xgb_mean_abs_shap,rf_shap_lift,xgb_shap_lift
sensor_059,1,1,0.8705882352941177,0.8179435098774671,0.0057364886531516,0.25068116597144624,0.0106605619148921,0.46311153620176304
sensor_033,2,2,0.4787297598574472,0.6395630254586253,0.0042371366511902,0.28018130132132857,0.0017977882832627,0.12463797348805924
sensor_519,3,3,0.4313270342616674,0.5194076719253748,0.0032358106605729,0.197046920140589,0.0019605418475242,0.11369112561619137
sensor_205,4,4,0.3831136764073839,0.49904626050782896,0.0039428329073514,0.2362460345071626,0.0009838418305506,0.10140077253667798
sensor_021,12,5,0.2408320455379724,0.443467231499463,0.0019221428627117,0.1902463309807401,0.0005142648401784,0.069679673177716
sensor_031,5,10,0.3569392385046254,0.32768677079692593,0.0039743382615194,0.1770571060870235,-0.0003742076227613,0.018089072335294443
sensor_510,6,17,0.3086049727115285,0.22627962075189748,0.0025340613713958,0.08013088744169948,0.0010272970631128,0.03775565112005658
sensor_573,21,6,0.1928862578512932,0.3790250389372465,0.0008481894770873,0.1485831935452062,0.000464607867316,0.012329949563621032
sensor_064,7,66,0.2973480060629319,0.12125618430004781,0.0024831280085289,0.029468137679419883,0.0007850341295916,0.015197825069290568
sensor_488,48,7,0.1446769459504364,0.3781357479545162,0.001594156937269,0.19409296574185614,-0.0002035492747085,-0.04903647652528018
sensor_129,8,9,0.2822343526030869,0.3286042640685035,0.0027022984651811,0.15728502019908558,0.0016594378202275,0.07397419658633815
sensor_160,10,8,0.2580347727339684,0.36690024164893265,0.0014042251957122,0.12840061801578123,0.0002213440952141,0.012889979877905501
sensor_065,9,95,0.2754099245580567,0.10270366846717066,0.0021873509849156,0.020654656667796947,0.0009215688591384,0.010837875480694025
sensor_197,69,11,0.1298037691594805,0.3118197842846963,0.001344400330984,0.16087568925363302,-3.053674661430861e-05,0.020010980602938676
sensor_572,11,16,0.2443158746661642,0.22719214805284793,0.0004812539183865,0.014601311149551295,-8.418792999225767e-05,-0.001752491403910714
sensor_175,20,12,0.1931505057234064,0.306385748208302,0.0020685946110791,0.162819787061174,3.8532078344378446e-05,0.006266767423889886
sensor_180,24,13,0.1828031969787976,0.2663202421474577,0.0017551702472104,0.12871220302187078,0.0006416063459323,0.0383781222407073
sensor_200,13,23,0.2230430358879607,0.20645049672739108,0.0022217390817227,0.1079649502891048,0.0006264355551887,0.0031120961883359774
sensor_038,14,35,0.2175633274219526,0.16938263576148993,0.0008404502393286,0.01500060010018496,0.0001112995826696,0.0022178606391064296
sensor_460,16,14,0.2135662563463943,0.24088619275147044,0.0012870687283649,0.07102772960698572,0.0006762594483532,0.04905909292015459
sensor_035,15,81,0.2155189098753104,0.10941633995280337,0.0013048126872304,0.014276301343865972,0.0006906891021989,0.0024490880684462568
sensor_163,36,15,0.1639925288405457,0.23004331847776022,0.0008408626958356,0.0698291708934452,0.0002966789569233,0.03562272090204072
sensor_316,17,50,0.2115008489955482,0.14163466873859673,0.0018746912205234,0.0582911681638182,0.000873130252431,0.02173728429071455
sensor_431,18,25,0.2090018231654205,0.2018274376750892,0.0011939262339315,0.054019474408145834,0.0003844899943927,0.017457550515672146
sensor_480,46,18,0.1490539399660658,0.21673636773063032,0.0009289144704788,0.07663549374010703,-0.0007472944660745,-0.050814143515902854
sensor_090,51,19,0.1415596454393373,0.21605555571615187,0.0009813394451808,0.08601059003972425,0.0007366687520272,0.04209758707374107
sensor_523,19,21,0.2073694364217834,0.211496542165308,0.000761502344737,0.042231137963494036,0.0004116438095127,-0.010374979080916972
sensor_570,33,20,0.1721236678518941,0.21525580090749885,0.0006154239542556,0.047567765046112,2.968741106712499e-05,0.019637888931410954
sensor_028,22,186,0.1877490470366162,0.02738666915800989,0.0017149539066839,0.013423511888121874,0.0013599813095104,-0.005297414337279245
