trial_id,emb_dim,hidden_size,num_layers,dropout,lr,batch_size,val_loss,val_pr_auc,val_roc_auc,n_params,checkpoint_path,status,error
trial_025,8,128,1,0.0,0.001,64,1.8863266309102376,0.3322747327262091,0.7254001883239172,55057,models\sequence_sweep\trial_025\sequence_gru.pt,ok,
trial_028,8,128,2,0.1,0.001,32,2.560986340045929,0.31769234063246854,0.7940207156308852,154129,models\sequence_sweep\trial_028\sequence_gru.pt,ok,
trial_032,8,128,2,0.3,0.001,32,2.4248655724028745,0.30330570035856563,0.714806967984934,154129,models\sequence_sweep\trial_032\sequence_gru.pt,ok,
trial_029,8,128,2,0.1,0.001,64,3.2839268843332925,0.2852814743625827,0.7032721280602636,154129,models\sequence_sweep\trial_029\sequence_gru.pt,ok,
trial_061,16,128,1,0.0,0.001,64,1.6918540199597676,0.25895192044268833,0.7000941619585687,59681,models\sequence_sweep\trial_061\sequence_gru.pt,ok,
trial_100,32,128,2,0.1,0.001,32,5.616854168474674,0.25803861512279214,0.6862052730696798,168001,models\sequence_sweep\trial_100\sequence_gru.pt,ok,
trial_096,32,128,1,0.0,0.001,32,3.596625070242832,0.2505332133881912,0.717984934086629,68929,models\sequence_sweep\trial_096\sequence_gru.pt,ok,
trial_068,16,128,2,0.3,0.001,32,4.78591470203052,0.24990045412736767,0.6466572504708098,158753,models\sequence_sweep\trial_068\sequence_gru.pt,ok,
trial_065,16,128,2,0.1,0.001,64,4.678247610727946,0.20776148706984102,0.637358757062147,158753,models\sequence_sweep\trial_065\sequence_gru.pt,ok,
trial_031,8,128,2,0.1,0.0003,64,1.1653630634148915,0.20605928886816835,0.7294020715630886,154129,models\sequence_sweep\trial_031\sequence_gru.pt,ok,
trial_069,16,128,2,0.3,0.001,64,3.9733328819274902,0.19676568885925322,0.6500706214689266,158753,models\sequence_sweep\trial_069\sequence_gru.pt,ok,
trial_033,8,128,2,0.3,0.001,64,2.8286277055740356,0.1933257735514537,0.6354755178907721,154129,models\sequence_sweep\trial_033\sequence_gru.pt,ok,
trial_106,32,128,2,0.3,0.0003,32,1.4574290563662846,0.18841016566012056,0.7053907721280602,168001,models\sequence_sweep\trial_106\sequence_gru.pt,ok,
trial_046,16,32,2,0.3,0.0003,32,1.216548924644788,0.1860805301823297,0.6226459510357816,14369,models\sequence_sweep\trial_046\sequence_gru.pt,ok,
trial_030,8,128,2,0.1,0.0003,32,1.1017402311166127,0.17881133945192432,0.7452919020715632,154129,models\sequence_sweep\trial_030\sequence_gru.pt,ok,
trial_083,32,32,2,0.3,0.0003,64,1.1937995553016663,0.1786274904527181,0.6552495291902072,19009,models\sequence_sweep\trial_083\sequence_gru.pt,ok,
trial_056,16,64,2,0.3,0.001,32,3.2802217975258827,0.17741149760255062,0.6226459510357815,44065,models\sequence_sweep\trial_056\sequence_gru.pt,ok,
trial_105,32,128,2,0.3,0.001,64,4.415823698043823,0.1689238053807471,0.603813559322034,168001,models\sequence_sweep\trial_105\sequence_gru.pt,ok,
trial_008,8,32,2,0.3,0.001,32,2.6333407387137413,0.1676653712349569,0.6603107344632768,12049,models\sequence_sweep\trial_008\sequence_gru.pt,ok,
trial_043,16,32,2,0.1,0.0003,64,1.2059205373128254,0.16635601751693369,0.623352165725047,14369,models\sequence_sweep\trial_043\sequence_gru.pt,ok,
trial_040,16,32,2,0.1,0.001,32,1.6552611390749614,0.16633351738661312,0.6327683615819208,14369,models\sequence_sweep\trial_040\sequence_gru.pt,ok,
trial_082,32,32,2,0.3,0.0003,32,1.1951195647319157,0.1660520198831458,0.667725988700565,19009,models\sequence_sweep\trial_082\sequence_gru.pt,ok,
trial_042,16,32,2,0.1,0.0003,32,1.2360664804776509,0.16522393460252063,0.5906308851224106,14369,models\sequence_sweep\trial_042\sequence_gru.pt,ok,
trial_034,8,128,2,0.3,0.0003,32,1.219884231686592,0.1650524960297459,0.6398305084745762,154129,models\sequence_sweep\trial_034\sequence_gru.pt,ok,
